recipe_id,position,verdict,changed,raw_text,old_qty,new_qty,old_quantity,new_quantity,old_unit,new_unit,old_label,new_label
mejadra,10,WRITE,label,Black pepper,,,,,,,,Black pepper
mejadra,14,WRITE,label,Salt,,,,,,,,Salt
miso-tofu-recipe,0,WRITE,label,block extra firm tofu (drained and pressed),16 oz,16 oz,16,16,oz,oz,,block extra firm tofu (drained and pressed)
miso-tofu-recipe,1,WRITE,label,white miso paste,2 tbsp,2 tbsp,2,2,tbsp,tbsp,,white miso paste
miso-tofu-recipe,2,WRITE,label,maple syrup (you can adjust the sweetness to your liking),2 tbsp,2 tbsp,2,2,tbsp,tbsp,,maple syrup (you can adjust the sweetness to your liking)
miso-tofu-recipe,3,WRITE,label,soy sauce (or tamari for a gluten-free option),1 tbsp,1 tbsp,1,1,tbsp,tbsp,,soy sauce (or tamari for a gluten-free option)
miso-tofu-recipe,4,WRITE,label,rice vinegar,1 tsp,1 tsp,1,1,tsp,tsp,,rice vinegar
miso-tofu-recipe,5,WRITE,label,sesame oil,1 tsp,1 tsp,1,1,tsp,tsp,,sesame oil
miso-tofu-recipe,6,WRITE,label,ginger paste,1 tsp,1 tsp,1,1,tsp,tsp,,ginger paste
miso-tofu-recipe,7,WRITE,label,garlic (minced),1 clove,1 clove,1,1,clove,clove,,garlic (minced)
miso-tofu-recipe,8,WRITE,label,water,1 tbsp,1 tbsp,1,1,tbsp,tbsp,,water
mussakhan,8,WRITE,label,sea salt and freshly ground black pepper,,,,,,,,sea salt and freshly ground black pepper
mussakhan,11,WRITE,qty unit,1 tablespoon olive oil or any neutral oil,1 tbsp,1 tablespoon,1,1,tbsp,tablespoon,olive oil or any neutral oil,olive oil or any neutral oil
mussakhan,12,WRITE,label,"naan or Arabic taboon bread, to serve",,,,,,,,"naan or Arabic taboon bread, to serve"
nandos-portuguese-chicken-and-rice,0,WRITE,label,"1 lb chicken thighs , boneless, skinless, cut into bite size pieces",1 lb,1 lb,1,1,lb,lb,"chicken thighs , boneless, skinless, cut into bite size pieces","chicken thighs, boneless, skinless, cut into bite size pieces"
nandos-portuguese-chicken-and-rice,14,WRITE,label,"1 small onion , diced",1 small,1 small,1,1,small,small,"onion , diced","onion, diced"
